 CDTJune/21/2021 15:34:35:333,xyz_acc:-0.093 -0.376 -0.921
 CDTJune/21/2021 15:34:35:347,resultant_acc:0.999
 CDTJune/21/2021 15:34:35:421,xyz_acc:-0.092 -0.373 -0.925
 CDTJune/21/2021 15:34:35:478,resultant_acc:1.002
 CDTJune/21/2021 15:34:35:581,xyz_acc:-0.093 -0.386 -0.919
 CDTJune/21/2021 15:34:35:583,resultant_acc:1.001
 CDTJune/21/2021 15:34:36:691,xyz_acc:-0.093 -0.381 -0.921
 CDTJune/21/2021 15:34:36:765,resultant_acc:1.001
 CDTJune/21/2021 15:34:36:766,xyz_acc:-0.095 -0.38 -0.92
 CDTJune/21/2021 15:34:36:767,resultant_acc:1.0
 CDTJune/21/2021 15:34:36:830,xyz_acc:-0.091 -0.385 -0.918
 CDTJune/21/2021 15:34:36:834,resultant_acc:1.0
 CDTJune/21/2021 15:34:36:929,xyz_acc:-0.09 -0.382 -0.919
 CDTJune/21/2021 15:34:36:996,resultant_acc:0.999
 CDTJune/21/2021 15:34:36:17,xyz_acc:-0.088 -0.375 -0.921
 CDTJune/21/2021 15:34:36:89,resultant_acc:0.998
 CDTJune/21/2021 15:34:36:174,xyz_acc:-0.097 -0.379 -0.921
 CDTJune/21/2021 15:34:36:191,resultant_acc:1.001
 CDTJune/21/2021 15:34:36:213,xyz_acc:-0.091 -0.377 -0.919
 CDTJune/21/2021 15:34:36:274,resultant_acc:0.997
 CDTJune/21/2021 15:34:36:368,xyz_acc:-0.091 -0.373 -0.919
 CDTJune/21/2021 15:34:36:382,resultant_acc:0.996
 CDTJune/21/2021 15:34:36:446,xyz_acc:-0.093 -0.385 -0.916
 CDTJune/21/2021 15:34:36:479,resultant_acc:0.998
 CDTJune/21/2021 15:34:36:556,xyz_acc:-0.088 -0.375 -0.92
 CDTJune/21/2021 15:34:36:558,resultant_acc:0.997
 CDTJune/21/2021 15:34:36:632,xyz_acc:-0.09 -0.377 -0.924
 CDTJune/21/2021 15:34:36:647,resultant_acc:1.002
 CDTJune/21/2021 15:34:37:723,xyz_acc:-0.09 -0.379 -0.922
 CDTJune/21/2021 15:34:37:737,resultant_acc:1.001
 CDTJune/21/2021 15:34:37:819,xyz_acc:-0.093 -0.375 -0.92
 CDTJune/21/2021 15:34:37:836,resultant_acc:0.998
 CDTJune/21/2021 15:34:37:984,xyz_acc:-0.094 -0.374 -0.923
 CDTJune/21/2021 15:34:37:986,resultant_acc:1.0
 CDTJune/21/2021 15:34:37:57,xyz_acc:-0.091 -0.371 -0.925
 CDTJune/21/2021 15:34:37:59,resultant_acc:1.001
 CDTJune/21/2021 15:34:37:144,xyz_acc:-0.094 -0.371 -0.923
 CDTJune/21/2021 15:34:37:243,xyz_acc:-0.091 -0.371 -0.923
 CDTJune/21/2021 15:34:37:318,xyz_acc:-0.094 -0.374 -0.922
 CDTJune/22/2021 12:52:26:195,location:29.585587 -98.619579
